gene,E14Tg2a-1,E14Tg2a-2,E14Tg2a-3,OctGip-1,OctGip-2,OctGip-3,OKO160-1,OKO160-2,OKO160-3,Z6-1,Z6-2,Z6-3
Srm,11.0099,10.6414,11.0424,11.1037,10.2878,10.7843,10.4375,10.6114,10.5583,10.1647,10.5703,10.3539
Tm6sf1,6.5899,6.6143,6.629,6.6314,6.6182,6.5596,6.6132,6.7052,6.5968,6.6048,6.6818,6.6451
Olfr814,6.593,6.6084,6.5067,6.5749,6.5749,6.6019,6.544,6.5868,6.6393,6.5207,6.6072,6.6793
Hspa14,6.5479,6.674,6.5783,6.5978,6.5287,6.6147,6.6178,6.6425,6.5993,6.6206,6.5466,6.5939
Cela3b,6.6172,6.7017,6.674,6.7817,6.7098,6.7017,6.6584,6.6604,6.6733,6.6747,6.6011,6.785
Olfr1008,6.7702,6.6792,6.7456,6.719,6.6052,6.6425,6.8133,6.7995,6.7159,6.7001,6.718,6.6574
Tmem150c,6.6621,6.687,6.6659,6.6869,6.724,6.712,6.6867,6.6511,6.7209,6.7134,6.6255,6.686
4930431L04Rik,6.6498,6.5216,6.5844,6.6286,6.5559,6.6672,6.6042,6.6386,6.5247,6.5936,6.636,6.5738
Plxnb3,6.6076,6.556,6.5628,6.5539,6.6225,6.7071,6.6316,6.6827,6.6378,6.6462,6.6381,6.6624
AC132587.1,8.7081,8.4464,8.4928,9.0115,8.5628,8.5778,8.2456,8.3207,8.2309,8.384,8.5341,8.3706
Zc3h12b,6.7889,6.6193,6.6476,6.7628,6.747,6.6706,6.6016,6.6435,6.6282,6.5668,6.6888,6.703
Lce1a2,6.5754,6.5105,6.5923,6.5548,6.5163,6.5493,6.5562,6.5674,6.5421,6.5702,6.6191,6.6177
Akap8l,8.5443,8.5816,8.7251,8.7488,8.7619,8.6757,8.7251,8.4868,8.5827,8.7999,8.806,8.9973
Pgm5,6.5877,6.5573,6.5564,6.5372,6.5098,6.4545,6.5314,6.4344,6.448,6.5435,6.5022,6.5787
Mrpl49,7.6932,8.1579,7.8199,7.9165,7.8452,8.1297,7.9208,7.9996,8.0783,7.971,8.294,7.8607
Ulk2,6.7853,6.6024,6.6661,6.6934,6.653,6.5836,6.6098,6.5556,6.5914,6.6131,6.571,6.6303
AC116825.1,6.6699,6.6988,6.6178,6.6344,6.5717,6.5995,6.6006,6.6774,6.5977,6.6065,6.623,6.6392
Dtymk,10.7431,10.8513,10.9503,11.0367,11.0207,10.9899,11.1708,11.2321,11.1868,11.2051,11.2467,11.0622
Adipor2,10.3279,10.3321,9.9878,9.9262,10.0714,9.7568,9.8859,9.8444,9.7203,9.8117,9.849,9.8694
Tacc2,6.5172,6.5297,6.6437,6.6127,6.5985,6.5259,6.6303,6.6361,6.6017,6.5444,6.6084,6.6152
Olfr1006,6.7847,6.7097,6.7172,6.6767,6.7645,6.6191,6.7938,6.7245,6.6682,6.6019,6.6438,6.7117
Stoml3,6.6903,6.5182,6.5875,6.6065,6.5384,6.5936,6.5951,6.5701,6.6292,6.5627,6.5851,6.5975
Cish,7.6621,7.8349,7.5577,7.8029,8.0046,7.434,7.8307,7.8373,8.0095,7.642,7.5286,7.6027
Col4a3,6.5669,6.6425,6.5874,6.6221,6.6695,6.6084,6.6044,6.6703,6.6615,6.5783,6.6628,6.5546
D330012F22Rik,6.7369,6.5933,6.7748,6.8155,6.7344,6.6966,6.7853,6.6373,6.7101,6.7248,6.7362,6.72
Klhl1,6.6643,6.5301,6.5346,6.626,6.6082,6.5184,6.726,6.6078,6.6102,6.658,6.622,6.5968
Prpf8,6.7047,6.6779,6.8399,6.6793,6.7258,6.6661,6.6902,6.6068,6.6216,6.6148,6.7117,6.6669
Dusp28,7.0331,7.0522,7.0658,6.9597,6.9995,7.0302,6.9407,7.0844,7.03,6.8884,7.0289,6.9466
