gene,E14Tg2a-1,E14Tg2a-2,E14Tg2a-3,OctGip-1,OctGip-2,OctGip-3,OKO160-1,OKO160-2,OKO160-3,Z6-1,Z6-2,Z6-3
mmu-mir-21,6.7192,6.5997,6.6038,6.6317,6.69,6.6176,6.5854,6.6247,6.5962,6.6693,6.6374,6.6529
SNORD12,11.0028,11.1294,10.9679,11.0764,10.9488,10.8997,11.061,11.073,10.9503,10.9692,10.7621,11.2629
mmu-mir-1893,6.5512,6.6128,6.6572,6.6036,6.6032,6.589,6.5379,6.5348,6.6174,6.5781,6.627,6.6209
mmu-mir-700,6.6342,6.6677,6.624,6.6911,6.6048,6.6905,6.6179,6.743,6.6557,6.6654,6.6913,6.6856
SNORA41,12.7446,12.602,12.5298,12.2042,12.2471,12.3435,12.4651,12.2528,12.0701,12.3176,12.1038,12.5491
snoU105B,8,8.01,7.9391,8.0427,7.9712,8.1574,8.0782,7.9794,7.9664,7.9784,7.9745,7.5952
AC125254.3,6.7885,6.7558,6.7549,6.8397,6.7451,6.8161,6.8126,6.7644,6.7675,6.8148,6.8332,6.7851
snoMBII-202,14.1754,14.2092,14.0172,14.085,14.3673,14.1464,14.2221,14.2391,14.215,14.2305,14.1899,14.2391
mmu-mir-205,6.7276,6.6342,6.6027,6.6058,6.6976,6.6249,6.5997,6.6461,6.5769,6.5905,6.5687,6.577
SNORA36,6.7825,6.7001,6.7202,6.6485,6.678,6.7783,6.7099,6.6999,6.7955,6.7278,6.7075,6.6729
SNORA51,10.1259,10.0301,10.2437,10.3675,9.5762,9.8171,10.0293,10.0508,10.1284,9.9211,9.9786,9.9157
SNORD12,11.0028,11.1294,10.9679,11.0764,10.9488,10.8997,11.061,11.073,10.9503,10.9692,10.7621,11.2629
mmu-mir-126,7.3613,7.5895,7.5182,7.3654,7.5444,7.5037,7.5849,7.709,7.7412,7.7387,7.6785,7.6696
SNORD29,6.6869,6.5706,6.6098,6.6621,6.6091,6.6642,6.6694,6.6712,6.6102,6.703,6.6216,6.7094
SNORD77,6.5457,6.567,6.6244,6.6134,6.6376,6.6887,6.6056,6.6479,6.6295,6.5874,6.5975,6.5867
CT009594.2,6.8154,7.0503,6.9179,6.8029,6.9234,6.8684,6.7215,6.9542,6.8521,6.9096,6.9019,6.8971
mmu-mir-351,6.8069,6.861,6.7499,6.7229,6.8294,6.7971,6.8066,6.8747,6.935,6.9648,6.8236,6.911
U8,6.8462,6.9004,6.7836,6.8836,6.9242,6.8079,6.7792,6.8887,7.0399,6.833,7.0162,6.7871
SNORD123,6.9674,7.1708,7.0979,7.2607,7.1995,7.0305,6.8411,6.9591,6.7828,6.9712,7.101,7.3836
SNORD14,13.4627,13.1898,13.3213,12.9183,13.0415,13.0268,13.1967,13.1278,12.9563,13.2686,13.0367,12.9084
SNORD88,6.709,6.5644,6.5954,6.6094,6.6736,6.6117,6.6969,6.6757,6.6749,6.6377,6.6357,6.561
ACA64,6.6601,6.5837,6.5774,6.6148,6.6073,6.5691,6.5702,6.586,6.5775,6.5985,6.5991,6.5392
5S_rRNA,6.6132,6.5713,6.5804,6.5761,6.5321,6.5853,6.6279,6.5755,6.5727,6.6427,6.5562,6.6291
SNORD64,6.6909,6.6885,6.695,6.732,6.6911,6.6581,6.7303,6.6963,6.7158,6.6266,6.7092,6.7295
snoU13,6.6359,6.6604,6.6521,6.5749,6.6842,6.6238,6.6458,6.6793,6.6089,6.7378,6.692,6.7263
SNORD88,6.709,6.5644,6.5954,6.6094,6.6736,6.6117,6.6969,6.6757,6.6749,6.6377,6.6357,6.561
SNORD42,13.6707,13.6193,13.5918,13.4528,13.6707,13.3983,13.4264,13.3585,13.3585,13.5806,13.5653,13.6278
SNORD83,8.4021,7.7085,8.2122,8.4378,7.6859,8.0829,7.9979,8.2641,8.2532,7.8054,8.1236,8.0959
AL591207.2,6.6813,6.7184,6.6597,6.7308,6.6793,6.6479,6.6789,6.6932,6.669,6.6777,6.711,6.6319
AC132367.2,6.7588,6.6331,6.6556,6.6908,6.6748,6.6138,6.8112,6.7378,6.6924,6.7609,6.5729,6.6791
mmu-mir-301b,6.6283,6.6306,6.6117,6.6235,6.6792,6.6915,6.7501,6.6991,6.6531,6.5814,6.6995,6.5659
U6,13.8575,13.9938,13.9938,14.1357,13.9787,14.0105,14.1055,14.0555,14.1312,14.0555,14.0345,13.9389
SNORD58,13.437,13.6143,13.5115,13.571,13.375,13.4528,13.5368,13.5516,13.649,13.5251,13.5516,13.5045
mmu-mir-24-1,6.6945,6.7019,6.6466,6.7643,6.6471,6.7408,6.7559,6.6276,6.6327,6.6905,6.7126,6.6869
U7,8.9175,9.6817,8.8811,8.7859,9.0061,8.9134,9.0871,9.3684,9.3688,9.4613,9.6843,9.7724
SNORD37,8.8381,8.4204,8.8937,9.3089,7.9354,8.3773,8.3496,8.2828,8.3473,8.4407,8.3857,8.7784
SNORA70,14.1464,14.1754,14.1698,14.0395,14.1664,14.0395,14.1312,14.0105,13.9389,14.1171,14.1312,14.1516
AL670446.1,6.7428,6.7024,6.725,6.7153,6.8006,6.7245,6.7022,6.779,6.7462,6.6506,6.7134,6.6875
SNORA77,13.1278,13.1967,13.135,13.1576,13.1781,13.2686,13.1898,13.1472,13.1898,12.8011,13.1898,13.0367
mmu-mir-682,13.8948,13.8352,13.6278,13.6278,13.8658,13.7484,13.6623,13.809,13.7256,13.7256,13.6853,13.809
AC122313.1,6.8767,6.6329,6.678,6.7937,6.6302,6.6336,6.9426,6.7237,6.694,6.9419,6.7246,6.7528
SNORA70,14.1464,14.1754,14.1698,14.0395,14.1664,14.0395,14.1312,14.0105,13.9389,14.1171,14.1312,14.1516
AC154846.1,6.7122,6.8611,6.7301,6.7182,6.7909,6.6869,6.7087,6.7947,6.8199,6.7789,6.7971,6.6988
SNORD60,10.0264,10.2489,10.106,10.0906,9.9315,10.0071,10.1774,10.2448,9.7873,9.8537,9.9625,9.4696
snR78,10.2654,10.7105,10.1791,10.222,10.1275,10.28,10.143,10.3062,10.3539,10.0575,10.345,10.2757
mmu-mir-7a-1,6.7505,6.742,6.6638,6.6382,6.6771,6.685,6.6303,6.7072,6.6791,6.651,6.6895,6.6238
AC119211.1,13.8948,13.8352,13.6278,13.6278,13.8658,13.7484,13.6623,13.809,13.7256,13.7256,13.6853,13.809
snoU97,8.8678,8.2502,9.0579,9.1043,7.9982,8.6079,8.4286,8.4588,8.4532,8.2876,8.6377,8.38
SNORA2,11.124,11.2812,11.3475,11.2118,11.3871,11.3504,10.9742,11.1409,10.9871,10.8271,11.0207,10.8864
AC148988.2,6.7953,6.9176,6.7773,6.7885,6.8856,6.8418,6.9307,6.8234,6.8559,6.9722,6.8093,6.9208
SNORA8,7.8646,7.3756,7.2509,7.3443,7.0465,7.1577,7.3171,7.1946,7.1428,7.2927,7.3739,7.7725
SNORA81,10.2326,9.7719,10.3926,10.4973,9.906,9.9625,10.4973,10.1494,9.9295,10.6616,10.0473,10.5794
SNORA19,6.6567,6.6456,6.6534,6.6867,6.7105,6.712,6.8031,6.692,6.7216,6.6488,6.6874,6.6901
SNORD31,6.6869,6.5706,6.6098,6.6621,6.6091,6.6642,6.6694,6.6712,6.6102,6.703,6.6216,6.7094
AL935150.6,6.8051,6.8416,6.8635,6.8628,6.8805,6.7314,6.8475,6.9747,6.8724,6.8298,6.8997,6.8611
AC136746.1,6.6101,6.6549,6.6367,6.6175,6.6944,6.596,6.6939,6.6304,6.6432,6.6004,6.6549,6.6365
AC147987.3,6.757,6.7008,6.7389,6.8194,6.6631,6.7921,6.7494,6.8798,6.7745,6.6125,6.7617,6.6652
AL670236.4,6.6773,6.6981,6.7609,6.676,6.7534,6.7556,6.9033,6.7456,6.6588,6.7644,6.7383,6.6245
AC123795.1,6.7272,6.7618,6.7728,6.6364,6.807,6.7302,6.6866,6.7536,6.8357,6.756,6.6876,6.7641
AC107744.1,8.3492,8.6124,8.2384,8.3793,8.4333,8.472,8.2464,8.4933,8.5889,8.2634,8.4707,8.419
AC152824.1,6.7283,6.6585,6.7516,6.6907,6.7154,6.7095,6.7332,6.7865,6.7679,6.7627,6.8084,6.6837
AC151715.1,6.6632,6.809,6.6939,6.6262,6.7012,6.626,6.6785,6.6183,6.7344,6.6639,6.6754,6.6679
AC164538.1,6.9788,6.9116,6.9872,6.9007,6.9658,6.7468,7.0036,6.8446,6.9169,7.0045,6.9687,6.8656
AC151841.1,6.6033,6.6088,6.6034,6.5837,6.6599,6.5513,6.644,6.6285,6.6094,6.625,6.6466,6.6569
AC140398.1,6.6583,6.577,6.6952,6.6666,6.6775,6.6194,6.6191,6.6604,6.7116,6.6992,6.7054,6.6248
AC122863.3,6.752,6.8041,6.7797,6.9227,6.7477,6.7205,6.8105,6.7926,6.8575,6.8373,6.8778,6.8289
AC124444.1,6.8871,7.0004,7.1229,7.0463,7.379,7.2528,7.1669,7.2262,6.7525,7.5312,7.6679,7.4969
AC103388.1,6.674,6.6388,6.6283,6.6136,6.6573,6.6257,6.6801,6.6363,6.6312,6.673,6.6817,6.6154
AC127694.1,6.8575,6.7306,6.7635,6.7961,6.6852,6.7414,6.7226,6.668,6.6216,6.713,6.7426,6.7934
AC111120.1,6.5399,6.5983,6.5965,6.5939,6.6059,6.5405,6.6247,6.5345,6.6273,6.493,6.6862,6.5899
AC119880.1,6.6672,6.6742,6.6171,6.5744,6.606,6.6005,6.5916,6.5757,6.6354,6.6,6.6158,6.6217
AC130210.2,6.963,6.9647,6.9143,6.9276,6.8943,6.9003,6.9419,6.9321,6.9943,6.8249,6.9313,6.9845
AC114988.1,6.6233,6.7295,6.647,6.6569,6.6179,6.559,6.7029,6.6267,6.6515,6.6156,6.6585,6.6051
AC127355.1,6.5839,6.5293,6.6574,6.6079,6.6144,6.6046,6.576,6.5671,6.6271,6.5633,6.5777,6.4928
AC158296.1,6.6859,6.5524,6.613,6.6342,6.6378,6.6252,6.5334,6.5081,6.5665,6.568,6.6018,6.621
AC148977.1,6.5566,6.5667,6.6329,6.5283,6.5291,6.5838,6.5451,6.5862,6.5731,6.5701,6.5654,6.6508
AC155806.2,6.7013,6.7022,6.691,6.7388,6.8157,6.709,6.7242,6.7145,6.8126,6.7875,6.74,6.699
AC162692.1,6.5737,6.5963,6.6025,6.5819,6.576,6.64,6.5823,6.6245,6.6968,6.6648,6.6559,6.6149
AC131980.1,6.6064,6.5322,6.6068,6.6168,6.6533,6.6923,6.6667,6.6651,6.6681,6.6988,6.6821,6.6223
AC157563.3,6.8744,7.0143,6.9546,6.8358,6.862,7.2919,7.3589,7.3726,7.6956,7.3129,7.2133,7.2538
AC120180.1,6.6194,6.4567,6.5776,6.5858,6.5713,6.621,6.5882,6.5931,6.5443,6.5855,6.5611,6.5785
AC114655.1,6.6676,6.5597,6.6292,6.6324,6.562,6.6166,6.6101,6.5361,6.698,6.647,6.6229,6.6025
AC124550.1,6.6353,6.8001,6.6639,6.8009,6.6765,6.6739,6.7605,6.7857,6.6102,6.7322,6.7356,6.6771
AC164373.1,6.5751,6.6724,6.6491,6.654,6.6378,6.6521,6.6279,6.7329,6.6918,6.6617,6.6594,6.6781
AC166829.1,6.9691,6.9882,7.3067,6.8194,7.0079,7.3289,7.1655,7.132,6.9054,6.857,7.0023,6.947
AC101777.1,6.6593,6.5822,6.5779,6.5938,6.6315,6.5917,6.6781,6.61,6.7492,6.6465,6.7355,6.5367
AC127433.1,6.5777,6.575,6.6522,6.6231,6.5937,6.5308,6.6527,6.6215,6.5543,6.5827,6.6391,6.5796
AC157362.1,6.5643,6.6077,6.6157,6.6582,6.6233,6.516,6.6357,6.5784,6.5619,6.6334,6.6161,6.5342
AC158928.1,6.6789,6.7319,6.7268,6.6009,6.6721,6.7876,6.7292,6.695,6.6796,6.6463,6.7287,6.6089
AC142191.1,6.6402,6.6187,6.6275,6.6386,6.7232,6.6564,6.6429,6.6355,6.6914,6.6946,6.6083,6.6502
AC164612.2,6.5499,6.5703,6.6168,6.6512,6.6471,6.633,6.6488,6.6459,6.6566,6.5876,6.5928,6.6113
CT025531.2,6.5908,6.7023,6.619,6.5349,6.5913,6.6227,6.6012,6.6095,6.6476,6.5479,6.6057,6.611
AC155722.1,6.7409,6.6745,6.6184,6.7002,6.7114,6.6824,6.7215,6.6693,6.6572,6.6169,6.7705,6.653
AC122015.1,6.6691,6.721,6.7436,6.7445,6.6651,6.7244,6.6686,6.5804,6.6824,6.7098,6.7464,6.6631
AC153872.3,6.5929,6.6059,6.6247,6.6513,6.5223,6.616,6.6457,6.5871,6.6369,6.6446,6.5799,6.5469
AC158662.1,6.6181,6.6411,6.6502,6.6329,6.6582,6.5843,6.5609,6.5995,6.6107,6.5606,6.5781,6.6851
CAAA01037531.1.36077.2,6.6202,6.5849,6.5693,6.5909,6.5953,6.6112,6.5793,6.606,6.5854,6.5732,6.493,6.5919
AC163294.1,6.6721,6.6365,6.6115,6.6637,6.6088,6.6011,6.562,6.7596,6.6377,6.6368,6.6949,6.6261
AC129024.1,6.597,6.6871,6.6015,6.592,6.6137,6.6106,6.552,6.6287,6.6705,6.5921,6.6389,6.6254
AC159313.3,7.5063,7.5212,7.387,7.4963,7.5936,7.4841,7.7963,7.7864,7.7438,7.6373,7.5202,7.7381
AC161812.1,6.7364,6.6787,6.6592,6.6531,6.547,6.6332,6.7496,6.7223,6.6477,6.7694,6.6672,6.642
AC113320.1,6.6299,6.6588,6.6515,6.5946,6.7058,6.6219,6.673,6.6268,6.602,6.6207,6.6414,6.5946
AC111135.1,6.6577,6.5729,6.5932,6.685,6.5523,6.6167,6.6472,6.5762,6.5803,6.5616,6.6223,6.6008
AC161198.5,6.6635,6.6646,6.586,6.5515,6.6226,6.6385,6.5869,6.6757,6.68,6.5778,6.5965,6.6437
AC109202.1,6.6458,6.6901,6.6489,6.6497,6.6312,6.6702,6.715,6.5872,6.6222,6.6149,6.5424,6.5571
AC137558.1,6.5808,6.5913,6.5288,6.6421,6.5483,6.5572,6.5316,6.5839,6.7247,6.6788,6.6034,6.5998
AC137513.1,6.6621,6.6816,6.6372,6.6571,6.6926,6.6903,6.6967,6.6578,6.678,6.6682,6.6998,6.7074
AC119237.1,6.5518,6.5948,6.6259,6.5843,6.5626,6.6389,6.5964,6.6343,6.6279,6.6106,6.6335,6.6107
AC118255.1,6.684,6.641,6.6895,6.6398,6.7336,6.7245,6.6633,6.6843,6.7108,6.6998,6.7472,6.7557
AC122525.1,6.6497,6.688,6.7019,6.6134,6.7634,6.6387,6.7667,6.6806,6.6222,6.6968,6.6329,6.6913
AC164565.1,11.9894,11.9722,11.6485,11.9515,11.5391,11.6219,11.6055,11.8088,11.6791,11.6464,11.8486,11.9283
AC127285.1,6.5719,6.6109,6.6082,6.6168,6.6309,6.6277,6.577,6.622,6.6946,6.581,6.5833,6.6945
AC138765.1,6.6498,6.5334,6.6358,6.7448,6.639,6.6082,6.5648,6.5763,6.535,6.721,6.6097,6.6571
AC122190.1,6.6771,6.7105,6.6406,6.5947,6.6627,6.6147,6.7079,6.7091,6.7121,6.7156,6.7279,6.6916
AC127580.1,6.6651,6.7119,6.646,6.7121,6.6256,6.6283,6.657,6.7165,6.7088,6.6769,6.6554,6.6536
AC105173.1,6.6548,6.6492,6.6398,6.605,6.5632,6.6352,6.6442,6.6016,6.5895,6.598,6.5408,6.6251
AC122013.1,7.0712,6.8688,6.9171,7.2242,7.2489,7.0021,7.1202,6.9418,7.0499,7.2939,7.0981,7.1563
AC115820.1,6.7181,6.6321,6.6194,6.6343,6.5396,6.6881,6.5607,6.5833,6.5731,6.6004,6.6629,6.6343
AC140326.1,6.6509,6.6221,6.5705,6.5304,6.5728,6.5563,6.5961,6.5892,6.6535,6.5722,6.5374,6.5828
AC159318.2,6.6117,6.5835,6.6926,6.6162,6.5849,6.5527,6.6146,6.5278,6.6234,6.643,6.5901,6.5992
AC163287.2,10.1249,10.0127,9.9137,10.2687,10.5044,10.5098,9.9363,10.0088,9.9343,9.9036,9.9414,10.0538
AC170806.2,8.8006,8.775,8.4402,8.7643,8.5594,8.5605,8.4529,8.5488,8.7105,8.6282,8.7134,8.3162
AC110564.1,6.5066,6.5821,6.5803,6.4945,6.5753,6.5517,6.6592,6.6115,6.584,6.5312,6.5207,6.5855
CT009765.1,6.6059,6.6417,6.6172,6.6503,6.6573,6.614,6.566,6.5985,6.649,6.6529,6.5373,6.6425
AC110382.1,6.5758,6.6264,6.6079,6.6927,6.5184,6.6411,6.6361,6.6041,6.6112,6.6593,6.634,6.5585
AC115727.1,6.6368,6.642,6.6605,6.6399,6.6635,6.5661,6.7001,6.6627,6.6878,6.6063,6.667,6.6485
AC142228.1,6.5794,6.6209,6.6226,6.5608,6.5978,6.5775,6.617,6.5348,6.5976,6.5961,6.5827,6.6266
AC127334.1,6.6609,6.7396,6.739,6.6901,6.6413,6.6421,6.5992,6.8253,6.6996,6.6872,6.6109,6.7199
AC102860.1,6.6183,6.682,6.6096,6.7565,6.6121,6.666,6.7348,6.6473,6.6081,6.6666,6.7379,6.6618
AC105966.1,6.5316,6.5789,6.6152,6.5694,6.5485,6.5787,6.5645,6.6422,6.6189,6.6593,6.6302,6.6169
AC140312.2,6.5374,6.5355,6.5849,6.6101,6.6399,6.6056,6.6046,6.6112,6.651,6.5528,6.6686,6.6109
AC122487.1,6.7057,6.7253,6.6594,6.7693,6.7446,6.7223,6.7326,6.7679,6.7105,6.7477,6.706,6.7569
CT485788.1,6.6028,6.6336,6.6194,6.5097,6.5832,6.6417,6.5889,6.5666,6.661,6.6818,6.5595,6.5718
AC087117.1,10.2654,10.7105,10.1791,10.222,10.1275,10.28,10.143,10.3062,10.3539,10.0575,10.345,10.2757
AC159277.1,6.6498,6.6887,6.5811,6.6998,6.705,6.7057,6.5939,6.6994,6.6934,6.6274,6.62,6.6497
AC122821.1,6.62,6.581,6.7577,6.7064,6.6928,6.6491,6.6933,6.673,6.6963,6.7551,6.6762,6.6839
AC154507.1,6.6795,6.7769,6.7163,6.687,6.7623,6.7439,6.6623,6.5981,6.6052,6.6258,6.7657,6.8007
AC167222.2,6.6301,6.6792,6.5785,6.626,6.6678,6.649,6.5943,6.6053,6.5868,6.5677,6.6134,6.6164
AC167222.1,6.9537,6.7939,6.9758,7.0014,7.0357,7.051,7.0557,7.0761,6.8358,6.9371,6.9963,6.988
AC153506.1,6.6442,6.6046,6.6345,6.6632,6.6321,6.636,6.6503,6.7282,6.7741,6.6147,6.6596,6.656
AC124585.1,6.6124,6.671,6.6221,6.657,6.6418,6.6622,6.7296,6.6368,6.6029,6.6862,6.6023,6.6861
AC130216.1,6.6933,6.6339,6.6597,6.6666,6.6122,6.619,6.6592,6.6964,6.6149,6.5962,6.6492,6.6042
AC125276.1,7.9015,7.8655,8.1817,7.991,7.8711,7.9052,7.3851,7.4152,7.3801,7.5988,7.7095,7.8204
AC129018.1,6.6045,6.5726,6.5777,6.6436,6.5991,6.6646,6.5261,6.5706,6.6249,6.6009,6.5947,6.6247
AC162384.1,6.5944,6.6176,6.5905,6.6712,6.5761,6.6585,6.6443,6.6325,6.5559,6.6541,6.5816,6.6357
AC154824.1,6.6622,6.5873,6.6216,6.6084,6.6715,6.5936,6.5397,6.53,6.7007,6.6521,6.6475,6.6169
AC098733.1,6.6761,6.7103,6.6462,6.6489,6.6361,6.6637,6.6127,6.7253,6.7037,6.6416,6.6825,6.6586
AC134869.2,10.1324,10.7772,10.6136,10.2041,10.8841,10.7528,10.3844,10.6305,10.7796,10.62,10.9571,10.3037
AC112962.1,6.6262,6.6047,6.5769,6.5933,6.5897,6.5391,6.788,6.6219,6.5599,6.5816,6.6205,6.5673
AC117612.1,6.5279,6.5479,6.5621,6.6324,6.5814,6.6032,6.5762,6.6096,6.5787,6.5529,6.551,6.5799
AC133159.1,6.6512,6.5805,6.6715,6.6408,6.6087,6.6075,6.6672,6.661,6.7183,6.6537,6.6633,6.6281
AC133496.1,6.5879,6.5782,6.576,6.6385,6.5307,6.5302,6.6344,6.6072,6.557,6.6267,6.6143,6.546
AC123834.2,6.6672,6.5507,6.5583,6.5365,6.5132,6.5353,6.4899,6.5337,6.59,6.5228,6.5898,6.5083
AC134826.1,6.5441,6.6737,6.5385,6.4563,6.4958,6.5646,6.4425,6.5821,6.5609,6.4957,6.4989,6.5268
AC122861.4,6.6307,6.6353,6.6678,6.5911,6.6554,6.6828,6.6747,6.6347,6.7558,6.7436,6.6806,6.6745
AC164315.1,6.6092,6.6715,6.6808,6.746,6.7088,6.6401,6.7378,6.8513,6.6963,6.6966,6.6755,6.6845
AC112142.1,6.6118,6.5922,6.5619,6.6261,6.581,6.5737,6.6865,6.6052,6.5777,6.6407,6.5714,6.6557
AC114585.1,6.6809,6.7303,6.7082,6.7726,6.7095,6.762,6.7651,6.747,6.7171,6.7126,6.7078,6.7269
AC134575.2,6.5598,6.511,6.6196,6.6297,6.6349,6.6493,6.633,6.7023,6.6376,6.6313,6.5461,6.6586
AC154627.1,6.5982,6.6301,6.6022,6.6029,6.6348,6.6513,6.7166,6.5945,6.6636,6.5971,6.6216,6.5765
AC163280.1,6.5952,6.6221,6.6667,6.5827,6.5771,6.6237,6.5978,6.5933,6.5878,6.5665,6.5808,6.6135
AC121599.2,6.7627,6.5958,6.7718,6.6552,6.8163,6.7413,6.755,6.6551,6.8782,6.7162,6.6689,6.7659
AC133967.1,6.5651,6.6523,6.5699,6.5868,6.5887,6.5463,6.5387,6.551,6.5795,6.5456,6.5912,6.5733
AC130214.1,6.554,6.6773,6.5667,6.6815,6.5962,6.5511,6.6464,6.5351,6.6014,6.6139,6.6502,6.6054
AC123977.1,6.6448,6.6951,6.654,6.6528,6.6232,6.6347,6.642,6.6329,6.7511,6.5877,6.7152,6.6367
AC108434.1,8.0438,8.1643,8.0935,7.9936,8.2797,8.3393,8.1155,8.3784,8.2812,8.0863,8.2976,8.2461
AC161167.1,6.6141,6.6192,6.6632,6.6418,6.7141,6.6947,6.613,6.6097,6.6261,6.6311,6.7489,6.6414
AC130654.2,6.7697,6.6952,6.6845,6.8239,6.9143,6.7965,6.7895,6.8198,6.9109,6.8797,6.7966,6.8546
Mgmt,7.2586,7.2576,7.2239,7.2775,7.4966,7.5269,7.3181,7.3536,7.5913,6.9904,7.0732,7.4644
Spata22,6.6366,6.7173,6.8422,6.6916,6.6746,6.7663,6.6795,6.6026,6.645,6.6963,6.6718,6.6871
Mki67,6.7748,6.7436,6.6088,6.7299,6.6979,6.6995,6.6629,6.6247,6.6332,6.6205,6.6923,6.6099
Rpa2,8.3628,8.3711,8.3515,7.9821,8.268,8.6487,8.2407,8.571,8.5041,8.0516,8.38,8.103
Tank,6.7249,6.8026,6.7355,6.7383,6.7298,6.7236,6.6901,6.6775,6.6668,6.6928,6.6099,6.6889
Aspa,6.7651,6.6074,6.6942,6.7452,6.6509,6.8132,6.7696,6.7049,6.6432,6.705,6.7638,6.5842
Xkr8,6.7583,6.9126,6.9056,6.764,6.9323,6.8577,6.9305,6.9597,6.8365,6.8729,6.9517,6.8589
Trpv3,6.5499,6.6374,6.5137,6.633,6.5233,6.6327,6.519,6.6108,6.554,6.5535,6.5909,6.5715
Mcm7,10.3321,10.2409,10.0633,10.2979,10.0408,10.2085,10.3439,10.3395,10.4565,10.3073,10.1652,10.1982
Ptpre,6.6268,6.5861,6.5972,6.5829,6.6394,6.7103,6.6758,6.6176,6.6013,6.6128,6.705,6.6035
Clrn3,6.6384,6.5984,6.6522,6.6467,6.5609,6.6285,6.7139,6.7012,6.6142,6.7235,6.5444,6.5989
Rbms1,8.8991,8.2158,8.3686,8.5633,8.1564,8.1901,8.2384,8.2736,8.2471,8.4069,8.3301,8.6932
Foxi2,6.7332,6.7093,6.6946,6.6574,6.7085,6.6081,6.7108,6.6478,6.6849,6.6452,6.6605,6.6513
4930544L04Rik,6.6339,6.6635,6.6995,6.6312,6.7066,6.6968,6.5421,6.666,6.7113,6.6607,6.7544,6.6786
Trpv1,6.6279,6.5975,6.6211,6.5776,6.6168,6.6576,6.5093,6.569,6.6192,6.5663,6.5775,6.6122
Cops6,11.0153,11.1578,11.3791,11.3405,11.1787,11.4004,11.1772,11.2553,11.1984,11.493,11.3693,11.5452
Shpk,6.6287,6.5844,6.6715,6.6583,6.6893,6.6067,6.6928,6.5752,6.6036,6.5448,6.5917,6.6691
Zfp113,6.66,6.7094,6.6474,6.6903,6.6503,6.605,6.5755,6.5417,6.6075,6.6096,6.5833,6.659
Eya3,6.6687,6.6414,6.7761,6.7614,6.7342,6.7207,6.7443,6.6737,6.7922,6.7344,6.7321,6.7787
Ctns,6.6778,6.6911,6.5946,6.6554,6.7913,6.7188,6.7536,6.8002,6.7386,6.5524,6.8253,6.62
Ptafr,6.7851,7.0048,6.8706,6.696,6.8272,6.8848,6.8144,6.9237,6.8006,6.8376,6.7784,6.8764
Itgb6,6.5615,6.721,6.6329,6.6242,6.5797,6.6866,6.5647,6.6362,6.6651,6.5836,6.6577,6.6163
Zscan21,7.6961,7.7178,7.5782,7.4583,7.5903,7.5332,7.6119,7.6637,7.5908,7.4496,7.6643,7.4871
Dock1,7.079,7.116,7.0349,7.1097,6.974,6.8773,7.3015,7.1892,7.0978,7.0673,6.9983,7.1549
Tax1bp3,9.7593,9.4216,9.7521,9.6646,9.4724,9.3038,8.8911,9.0819,8.9948,9.4563,9.622,9.4121
D7Ertd443e,6.6212,6.5643,6.5636,6.5923,6.5828,6.5216,6.568,6.4773,6.611,6.5831,6.5445,6.5301
Tmem93,10.2041,10.2109,10.309,10.2581,10.3515,10.3172,10.157,10.359,10.2925,10.09,10.4835,10.143
A130023I24Rik,6.6239,6.5653,6.5157,6.519,6.5587,6.5768,6.6146,6.5579,6.6136,6.5775,6.5093,6.5747
Zkscan1,6.577,6.6578,6.659,6.5735,6.5951,6.6128,6.6116,6.6117,6.6143,6.6439,6.7105,6.6214
Pla2r1,6.5218,6.5891,6.5347,6.5222,6.5779,6.5798,6.5543,6.555,6.5378,6.5712,6.5761,6.5558
Unc13d,6.6576,6.5386,6.6627,6.71,6.6351,6.6532,6.5886,6.6372,6.7514,6.7823,6.6412,6.7246
Adam12,6.5992,6.6014,6.6151,6.5968,6.5496,6.6849,6.6262,6.6074,6.696,6.6133,6.5825,6.5066
Unk,7.7586,7.8276,7.7727,7.5487,7.7654,7.4747,7.7207,7.6964,7.5469,7.6815,7.465,7.682
Dnajc8,8.6415,8.6468,8.686,8.5975,8.1736,8.5338,8.3404,8.354,8.1782,8.2841,8.5094,8.6887
Atrn,6.7364,6.7454,6.7282,6.5894,6.6415,6.6639,6.6736,6.6909,6.6717,6.7243,6.7243,6.65
H3f3b,12.132,11.9991,12.2966,11.9323,11.915,12.1007,12.2076,12.3229,12.4294,12.1244,12.132,12.0291
P2rx5,6.6975,6.7591,6.8018,6.763,6.8361,6.8139,6.8457,6.8259,6.8074,6.9344,7.034,6.8825
Galk1,9.9097,9.9373,9.9455,10.1982,9.9556,9.9811,10.0152,9.6212,9.8659,10.4551,10.1915,10.2789
Gsg2,8.7832,8.8103,8.8666,8.6129,8.8047,8.5228,8.7599,8.6677,8.4735,8.9923,8.6562,8.6826
Fank1,6.5839,6.5652,6.5741,6.5611,6.5715,6.5757,6.5756,6.5033,6.5258,6.6018,6.5886,6.5396
Atpif1,13.2686,13.5368,13.2307,13.3471,13.6193,13.437,13.4189,13.5045,13.6058,13.3159,13.4675,13.5584
Azgp1,6.6818,6.6857,6.6781,6.7497,6.8163,6.7438,6.7276,6.6995,6.7168,6.6235,6.767,6.6772
4930402H24Rik,6.9065,6.9884,6.8162,6.7613,6.8715,6.8022,6.8266,6.8451,6.9103,6.9565,6.8574,7.0377
Sesn2,7.5965,7.4867,7.3773,7.706,7.4463,7.5171,7.1224,7.1217,7.0731,7.3494,7.2017,7.2968
