gene,pvalue
4930547C10Rik,436.88
Gramd1c,394.06
Trim71,336.33
Itfg3,309.73
Meis2,305.58
Pan3,238.9
Smn1,108.53
Dner,3100
Psd3,3100
9430031J16Rik,3100
Ippk,3100
Tgif2lx1,3100
Xkr4,3100
Zkscan2,3100
Thbs1,3100
Nox3,2998.69
Glra1,2901.43
Svil,2551.22
Tmem65,1914.67
4921528O07Rik,1913.2
Baz2b,1720.36
Adrb2,1683.1
Slc26a7,1657.26
Meis2,1408.87
A130050O07Rik,1247.76
Wnt5a,1245.35
Extl3,1219.07
5730522E02Rik,1208.39
Gm16390,1071.04
Cbln2,1029.21
Pdcd10,988.31
Rpl7a-ps5,958.99
Cyp1b1,956.12
Vcam1,931.67
Srsf5,901.87
Ntrk2,892.9
Timd4,871.66
Tbca,859.95
Brip1,786.35
2310046A06Rik,753.13
Masp1,728.78
Adamts6,681.99
Arl4c,675.91
Cdh18,488.93
Bdh1,409.02
Phf3,402.08
Fhl1,385.52
Specc1l,367.2
Incenp,364.77
Dfna5,336.78
Olfr339,320.68
4933404M02Rik,278.16
Gpc4,269.17
Gm17316,251.32
Prdm4,247.93
Ces1a,240.93
Fgf14,177.85
Rab28,173.99
Zfp618,99.57
Tnrc6a,97.52
Kif26b,3100
Maml1,3100
Sgpp2,3100
1700025G04Rik,3100
1700021A07Rik,3100
Shisa6,2402.16
Pcdh7,2254.67
Epb4.1l2,1921.88
Trdn,1817.92
Stau2,1767.26
Zdhhc21,1756.07
U90926,1730.57
Plekha5,1676.8
A1bg,1639.74
Ttll7,1558.18
1700017G19Rik,1529.69
Hand2,1298.22
St6galnac5,1229.58
Fam134b,1119.19
Sp8,1109.1
AA986860,1072.6
Slc8a1,1061.38
4931417E11Rik,970.25
Grik2,865.57
Tns3,855.03
Mtx2,848.27
Zranb2,846.75
Hmgb1,831.95
Pcdh10,830.77
Phf14,825.71
D930015E06Rik,823.61
Macrod2,804.25
Amy2a5,774.72
Poll,742.3
4930533L02Rik,713.61
Mmp9,670.27
Fundc1,666.95
Atxn7l3b,657.98
Gm3550,625.94
Ptpla,586.22
Asb18,574.96
Wnt7a,574.46
Rapgef6,511.68
Utp18,440.5
Gramd3,410.11
4930486L24Rik,401.4
Stim2,391.44
Trank1,372.42
Phyhipl,372.04
Txndc5,320.56
Mdm4,291.66
Gm606,242
Gli3,191.93
Vstm2b,187.74
Ptprg,164.76
Tmem108,132.12
Frmd7,108.46
Kl,94.57
Zeb2,3100
Gm4868,3100
Kcmf1,3100
Timp3,3100
Cd44,1984.84
Gm16833,1952.51
C78339,1895.7
Esrrg,1876.79
Fggy,1815.59
Nup35,1757.5
Myh9,1643.03
Thsd4,1303.79
4930546C10Rik,1288.1
Abat,1286.34
Tm9sf2,1152.54
Pfn2,1127.07
Frmpd4,1056.91
Ust,916.15
Cxcr4,912.02
Arl15,858.13
Pgap1,851.7
Grid2,813.81
Slco6d1,783.02
1700015F17Rik,708.57
Vmn1r77,679.92
1700017G19Rik,675.47
Pitpnb,660.58
Aldh6a1,653.58
Meis2,649.49
Gch1,642.84
Shroom4,601.31
Pkhd1,570.8
A330008L17Rik,538.26
Lrrc4c,531.23
Ext1,513.42
Zfp948,504.14
Asb4,481.42
Kcnip4,405.41
Fgf8,397.97
Efhc1,383.13
Shisa6,360.4
Sema6a,351.33
Lama2,347.67
Folr4,333.09
Ppm1d,323.99
Chst1,322.33
Gbp2,291.05
Chic2,278.18
Ptgdr,269.28
Ppef2,258.13
Ncam1,200.83
Mob4,186.1
