gene,pvalue
Odz2,765.86
Camk4,745.33
C230029F24Rik,611.62
Gm5507,580.18
Amd2,3100
Grm6,1771.33
Kctd16,1661.22
Lphn3,1327.3
Plce1,1292.34
Pcca,1220.82
Cyp4f15,1055.07
Amd2,809.07
Fmn1,790.33
Mad2l1,773.61
Frmd5,637.13
Pde6h,354.65
Lyzl4,308.88
Prpf4b,3132.09
Adcyap1r1,3100
Kdm6b,2569.98
Rap1gds1,2082.02
Nat1,1836.91
Satb2,1711.35
Zwint,1684.73
Rims2,1634.04
Diap2,1249.24
Greb1l,949.95
Gm17618,920.87
Cib2,919.2
1110067D22Rik,825.57
Gm5965,809.07
Spred2,671
F830104G03Rik,398.4
Zfp36l2,191.39
Ercc3,2400.61
Foxq1,1937.6
Efnb2,1788.86
Olfr328,1750.55
Park2,1540.09
Maf,1114.96
Stk25,1058.91
Yipf6,911.88
Hs3st5,817.91
Arsj,639.88
Ptprd,622.73
Fggy,394.51
Mt4,339.43
Mrpl37,236.35
Cited2,3100
Gm6741,1687.74
3100002H09Rik,1614.02
Sorbs2,1426.79
Odz3,1416.29
Olfr224,923.9
Grin2a,738.57
Gm8181,666.77
Fras1,538.24
Prkch,498.24
Glis3,485.44
Sdk1,434.61
Tmem55a,417.24
Rgmb,376.12
Lcp2,313.34
Grin2b,3100
Eef2k,3100
Mcts1,2717.45
Rps6kc1,2562.2
Slc8a1,1827.25
B930007M17Rik,1778.97
Svip,1743.17
Kif26b,1687.24
Dhx40,1366.33
Ankrd50,866.44
3110043O21Rik,847.8
Chd1,712.94
Chrm2,634.55
Slc28a3,617.49
Jam3,615.3
Arhgap21,592.21
Rapgef4,514
Hoxb1,252.38
Odz3,3100
Dmd,2483.63
Klf4,1577.16
Ncald,1560.06
Slco1c1,1516.16
C1galt1,1120.29
Cntnap5b,935.08
Gm16223,388.18
Dscam,3100
Gapvd1,3100
Mapkapk2,2818.11
Fbxl7,2038.12
Pi15,1714.35
Asb9,1502.75
Adamts17,963.57
Kirrel3,908.41
Ppm1h,843.85
Tbx3,815.94
Setbp1,715.53
Ifngr1,641.98
Gramd3,551.96
Ndst4,347.68
Drd1a,338.44
Gm5407,3100
Ext1,3100
4930529M08Rik,3100
Lrrtm3,3100
Sft2d2,3100
Gabrg3,1685.28
Plekha1,1665.03
Cetn3,1476.26
Ccl20,1367.45
Amy2a5,1233.66
Tsn,1166.75
Hand2,1079.32
Hrh4,917.91
Shisa6,892.37
Gm9966,639.11
Rgma,504.62
Ghitm,3100
Cdkn3,3100
Fgfr1,3100
Mfap1b,3100
Ambp,2155.29
Anxa10,1583.43
Lsamp,1541.06
Gm6133,1414.16
Epha5,1143.09
Ptpre,1056.37
Coro1b,1053.12
C030019I05Rik,991.13
Tusc1,937.35
Ngf,923.03
Fbxl4,752.91
Npy,674.92
Fibin,342.56
Prkar1b,281.38
Med27,3210.01
Zfp608,3100
Slc39a10,3100
Mrpl39,3100
Vcl,3100
Olfr1163,2779.27
Ldlrad3,2603.64
Gp49a,2496.87
Tmtc1,2156.8
Pde10a,1467.46
Adamts5,1460.08
Rpl10l,1359.7
Hccs,883.58
Cdh7,828.04
Kcnq3,636.47
Adamts1,596.1
Tmem2,547.3
D130062J21Rik,536.99
Gm10828,461.94
Ddx58,445.89
Bicd1,376.43
Nsg2,3100
Uspl1,3100
Spata6,2856.15
Gm4951,2517.17
A930017M01Rik,2335.65
Sulf1,2255.74
Gm17492,1726.06
Sap130,1431.89
Rundc3a,1321.7
Fam49b,952.09
Pcdh15,896.33
Fzd8,892.57
Lphn3,806
Maf,565.26
Hrh1,416.82
Fam19a2,380.03
Ces2b,344.79
Pde1b,198.1
Dhx35,3148.39
Lsm5,2295.19
Tmem135,1929.81
Cdk5rap2,1486.75
Scg2,1120.73
Gm9797,980.4
D19Bwg1357e,915.78
Ofcc1,852.68
Csn2,789.78
Speer2,704
Pik3c3,674.2
Sidt1,657.45
Olfr960,582.07
Vdac2,523.17
Arhgap20,474.65
Ptpru,415.29
Pgrmc2,401.71
Glra3,359.29
Slc6a12,304.14
1700019A02Rik,3205.84
Tbc1d7,3100
Mamdc2,3100
Gria1,3100
Gm17649,3100
Olfr530,3100
Fars2,2660.26
Alg10b,2317.63
Emx2,2143.97
Gm6996,2090.08
Zfp618,1717.13
Scgn,1697.3
Agap3,1638.62
Tbl1x,1573.76
Zpld1,1216.58
Inadl,1119.15
Hccs,1004.84
Ppp1r12a,958.78
Gm6133,762.04
9430070O13Rik,756
St3gal3,714.42
Car10,688.83
1110003E01Rik,433.37
Pou3f2,406.96
Sftpd,403.29
Efha2,278.98
Rps6ka2,260.94
Zfp608,3100
Wdr91,3100
Gm9797,3100
Fam135b,2304.79
Rims1,2082.65
Gm6576,1708.09
Unc5d,1622.03
Pou3f1,1397.18
Cdh10,1333.19
Sema3e,1112.39
Cdc73,1005.87
Ppp1r3c,985.78
Gm11016,928.91
Efna5,846.2
Tmprss15,710
Cps1,692.5
Ets1,663.18
Prdm10,658.94
1700018B24Rik,639.02
Sh3bp4,590.55
Lipc,579.17
Epha6,570.83
Mbnl1,561.52
Bcas3,546.46
Rnf180,422.09
Utp18,350.09
Gm5528,295.06
Bcar1,275.43
Mob4,216.77
Gm17312,3100
Wdr47,3100
Slc2a9,3100
Rad23b,3100
Sorbs2,2718.65
Irx1,2535.65
Gm16478,2064.24
Stk4,1718.41
Rdh10,1637.14
Gm9966,1353.66
Arid2,1339.99
Rerg,560.84
Ccl9,558.47
Wnt5a,527.11
Kdm2b,449.02
Dusp4,364.64
4933409G03Rik,3100
Gm13271,3100
Khdrbs3,3100
Lrp1b,3100
Mpdz,3100
Zdhhc14,2876.45
Megf10,2791.88
Clvs1,2467.75
Grm3,2073.89
Hsd17b3,1864.05
Epha3,1841.95
Chst1,1802.52
Sntn,1772.06
Xylt1,1734.36
Nrxn3,1667.88
Ccdc18,1330.59
Barx2,1097.37
Cntnap5a,1093.13
Gnao1,848.91
Fam49a,746.7
4930546C10Rik,689.16
Ets1,658.51
Olfr127,640.58
Fgf13,607.44
Npy,574.34
Mcc,571.28
Efna5,494.15
Rpf1,334.9
F13a1,333.78
Fez1,85.57
Cadm1,3100
Sumf1,3100
Kcna4,3100
D19Bwg1357e,2612.6
Kcnma1,2305.4
Csmd3,2194.68
D830039M14Rik,1932.41
Lamb1,1463.9
Rdh10,977.87
Fam190a,968.93
Gli3,952
Frmpd4,935.14
Sort1,756.86
Rtn1,718.06
Crisp1,501.24
Kcnj1,488.82
Gm2058,487.6
Atg7,337.51
Olfr616,256.24
Aldh7a1,3100
Pid1,3100
Cntn5,3100
Psmd7,2990
Pdgfd,2950.4
Tspan2,2892.65
Cxcl13,2206.4
Rps3a,1971.26
Vrk2,1955.24
Tmeff2,1585.42
Ctbp2,1565.25
Gm9733,1446.17
Parm1,1375.72
Ninl,1047.08
Rad23b,1035.29
Bcl2,991.26
Fbxw26,951.59
Gucy1a2,937.32
Psapl1,769.78
Edem1,767.88
2610018G03Rik,620.25
Pon1,529.18
Efnb2,496.06
Rpl13a-ps1,486.11
Sntg1,453.12
Olfr1402,444.21
Khdrbs3,322.97
Rhod,126.22
Ccl1,3217.26
Park2,3148.92
Atp10a,3100
Enc1,3100
1110021L09Rik,3100
Slc8a1,3100
Wls,2903.54
Ofcc1,2871.78
Naa30,2616.33
Heph,2434.11
1110032A04Rik,2039.58
9430031J16Rik,1685.08
Ppp3ca,1533.16
Ins1,1287.59
Grin3a,1204.62
Gm9008,1177.66
Tox3,1128.88
Col4a2,1037.8
Gm7854,950.51
Frmpd4,910.47
Ctbp2,825.6
Hs3st2,804.01
Cps1,710.76
Pcdh18,658.85
Wbscr17,654.01
St8sia3,569.66
2410004P03Rik,393.99
Kank1,391.53
Olfr1028,388.93
Itpr1,384.65
Cd36,376.06
Chrna7,325.93
Cacnb2,271.36
Hdac4,215.63
Cdkn2aipnl,203.73
Spock2,203.42
Sorbs2,3100
Gm17359,3100
Mbnl1,3100
Txndc16,3043.12
Tnf,2946.45
Cadm1,2803.68
Cyyr1,2516.79
Map3k7,2187.99
Ces5a,2087.58
Zfp536,1987.82
Efnb2,1339.13
Ankrd61,1311.46
Mtap2,1293.72
Nppc,1156.43
Gm10188,1075.81
Dmrtb1,1021.38
Bmp7,902.45
Slc2a12,779.93
Fam38b,730.6
Mtmr2,729.07
Snx29,703.36
Atxn7l3b,686.59
Cda,653.19
Tiam2,637.52
Fshr,598.8
Olfm3,596.66
Top2b,559.55
Gnb1l,506.29
Pitx2,450.29
4931408C20Rik,334.89
Nnmt,280.83
1810012P15Rik,160.63
Cadm2,3149.36
AI504432,3100
Cntn5,3100
Edn1,3100
Rbms1,3100
A530053G22Rik,3100
Nxph1,2922.01
Enpp2,2691.55
4922501C03Rik,2460.93
Smgc,2440.25
Igfbpl1,2097.32
Casp1,2068.23
Rims4,1892.05
Cntnap4,1857.28
Atp6v1g3,1853.81
Csmd1,1743.6
Best3,1600.18
Tek,1515.23
Dab1,1334.17
Srp14,1332.53
Cpn2,1223.96
Pou3f2,1169.94
Hdac8,1081.61
Jam3,1042.25
Plxna2,994.21
Gm9966,942.5
Rbbp8,893.38
Cdh8,859.99
Eya1,782.34
Gm11492,541.09
Cdc7,416.08
Tle3,316.85
Slc10a4,282.49
Prss8,173.9
Defb18,3100
Eif2b3,3100
3110009E18Rik,2763.37
Rufy3,2264.03
Ddx18,2082.51
Tmem229a,1865.5
Fam92a,1749.71
Wwox,1710.77
Svep1,1679.22
Dydc2,1399.96
Mina,1357.21
Etaa1,1335.08
Tpm1,1191.56
Gm4987,1190.65
A2ld1,1077.81
4930548G14Rik,1021.26
Pon2,960.85
Setbp1,913.91
Zkscan6,873.26
Pawr,871.14
Zc3h12d,832.95
Pth2r,749.79
Olfr959,662.13
Grhl2,467.21
Eltd1,383.18
Foxc2,319.19
Gm15319,304.79
Cep170,277.08
5330438I03Rik,226.57
Cntnap5b,3224.03
Col8a1,3100
1700112E06Rik,3100
Olfm3,3100
Rac2,3100
Penk,3100
Nell1,2550.13
Mex3c,2253.64
Ins1,1809.78
Kcnmb1,1751.93
Emp1,1553.58
Kcnn3,1498.24
Nxt1,1333.04
Sh2d4b,1180.33
Sec61b,1103.11
Dtna,1007.83
Thsd4,964.71
Jazf1,867.03
Adh6a,768.31
Ccdc50,761.68
Wbscr17,682.98
Acvr1,654.48
Camk1g,586.84
Gm5258,499.46
Gm9930,497.48
1300010F03Rik,476.65
Vav3,451.89
9130404H23Rik,411.26
Nr3c2,319.88
Kcnj5,318.57
Ccin,149.02
Gcsh,113.56
Rnf20,105.36
Vwc2l,3100
Abca13,3100
Zfp609,3100
Herc1,3100
Fam135b,3100
Gm10295,3100
